Matrix Size,Poor OpenMP,Thrashing OpenMP,'Possible' Thrashing OpenMP,Correct OpenMP
32768,11.3884,21.709,1.5202,1.2718
30720,2.2778,16.2642,0.5522,0.522
28672,1.8602,12.4352,0.4232,0.4364
26624,1.7138,10.3706,0.3602,0.3668
24576,1.5584,8.266,0.3048,0.3152
22528,1.3906,6.575,0.263,0.2694
20480,1.2202,5.2396,0.2162,0.2252
18432,1.067,4.0506,0.178,0.1834
16384,0.931,3.0996,0.1368,0.1478
14336,0.807,2.1428,0.1042,0.112
12288,0.6708,1.4272,0.0768,0.0835999
10240,0.546,0.828,0.0534001,0.0605999
8192,0.4274,0.4738,0.0342,0.0404
6144,0.314,0.1944,0.0188,0.0236
4096,0.2088,0.1628,0.0114,0.016
